method,path,ignore
GET,/domoweb/public/javascripts/admin/apps/companySettings/controllers/{id},
GET,/domoweb/public/javascripts/admin/apps/companySettings/templates/csettings-content.handlebars,
GET,/domoweb/public/javascripts/admin/apps/companySettings/views/{id},
GET,/domoweb/public/javascripts/admin/apps/group/{id},
GET,/domoweb/public/javascripts/admin/apps/group/controllers/{id},
GET,/domoweb/public/javascripts/admin/apps/group/models/{id},
GET,/domoweb/public/javascripts/admin/apps/group/templates/add-new-group.handlebars,
GET,/domoweb/public/javascripts/admin/apps/group/templates/app-layout.handlebars,
GET,/domoweb/public/javascripts/admin/apps/group/templates/content-header.handlebars,
GET,/domoweb/public/javascripts/admin/apps/group/templates/content-pane.handlebars,
GET,/domoweb/public/javascripts/admin/apps/group/templates/delete-group.handlebars,
GET,/domoweb/public/javascripts/admin/apps/group/templates/member-management.handlebars,
GET,/domoweb/public/javascripts/admin/apps/group/templates/navigation.handlebars,
GET,/domoweb/public/javascripts/admin/apps/group/templates/remove-person-dialog.handlebars,
GET,/domoweb/public/javascripts/admin/apps/group/views/{id},
GET,/domoweb/public/javascripts/admin/apps/kpi/{id},
GET,/domoweb/public/javascripts/admin/apps/kpi/collections/{id},
GET,/domoweb/public/javascripts/admin/apps/kpi/controllers/{id},
GET,/domoweb/public/javascripts/admin/apps/kpi/models/{id},
GET,/domoweb/public/javascripts/admin/apps/kpi/templates/kpi-access-item.handlebars,
GET,/domoweb/public/javascripts/admin/apps/kpi/templates/kpi-content.handlebars,
GET,/domoweb/public/javascripts/admin/apps/kpi/views/{id},
GET,/domoweb/public/javascripts/admin/apps/page/{id},
GET,/domoweb/public/javascripts/admin/apps/page/collections/{id},
GET,/domoweb/public/javascripts/admin/apps/page/controllers/{id},
GET,/domoweb/public/javascripts/admin/apps/page/templates/kpi-item.handlebars,
GET,/domoweb/public/javascripts/admin/apps/page/templates/page-access-item.handlebars,
GET,/domoweb/public/javascripts/admin/apps/page/templates/page-content.handlebars,
GET,/domoweb/public/javascripts/admin/apps/page/views/{id},
GET,/domoweb/public/javascripts/admin/apps/people/{id},
GET,/domoweb/public/javascripts/admin/apps/people/controllers/{id},
GET,/domoweb/public/javascripts/admin/apps/people/templates/add-new-user.handlebars,
GET,/domoweb/public/javascripts/admin/apps/people/templates/app-layout.handlebars,
GET,/domoweb/public/javascripts/admin/apps/people/templates/content-header.handlebars,
